a man is,destination_ip,start_time,Network_Node_Text,source_port,destination_port,flags,site,asn,num_packets,num_bytes,Label
135.b1d10.b1d10.86,135.0777d.04511.237,1415747425,"A terrorist bomb explodes near a government convoy. Nine are killed, ninety-two are injured.",55345,36472,-AP---,c9f0f,c4ca4,56756,420,0
135.b1d10.b1d10.41,135.0777d.04511.237,1415753933,"A horrific assault by Hizbul Mujahideen on a village leaves seven persons, including three children and two women dead.  Another child subsequently dies of injuries.",54354353,65449,-AP---,c9f0f,c4ca4,65757,504,1
135.b1d10.b1d10.114,135.0777d.04511.237,1415762180,Two brothers are abducted and murdered by Lashkar-e-Toiba.,43534,56998,-AP---,c9f0f,c4ca4,6757,504,0
135.0777d.04511.237,135.b1d10.b1d10.114,1415337215,"A grenade attack by militant Muslims leaves two civilians dead and eleven others, including three girls, critically injured.",56998,22,"-A----,-AP---",c9f0f,c4ca4,765757,1008,1
135.0777d.04511.237,135.b1d10.b1d10.24,1415452710,Thirteen IDF reservists are killed and seven injured by the combined efforts of a very young Palestinian suicide bomber and supporting gunfire.,47791,7658,"-A----,-AP---",c9f0f,c4ca4,75675,1008,0
135.0777d.04511.237,135.b1d10.b1d10.110,1415485209,Eight people are killed by a Muslim bomber while riding on a bus. Twenty-two others are injured in the attack.,51239,67868,"-A----,-AP---",c9f0f,c4ca4,7567,892,1
135.b1d10.b1d10.124,135.0777d.04511.237,1415752467,Islamic suicide bomber kills twenty-one in an attack on town's oldest synagogue. Youngest fatality is an 11-year-old German boy.,22,51234,-AP---,c9f0f,c4ca4,65465,504,1
135.0777d.04511.237,135.b1d10.091d5.66,1415730030,"Six people, including two Chinese nationals, are killed by a Palestinian suicide bomber at a bus stop in an attack that leaves one-hundred and four others injured.",57901,879,"-A----,-AP---",c9f0f,c4ca4,6757,1008,1
135.b1d10.091d5.52,135.0777d.04511.237,1415760796,Four separate Fedayeen attacks across the region leave ten innocents dead and at least seventeen others injured.,67657,57880,-AP---,c9f0f,c4ca4,675,504,1
135.b1d10.b1d10.103,135.0777d.04511.237,1415751435,A Mujahideen attack on a security patrol leaves one member dead.,7587,51251,-AP---,c9f0f,c4ca4,876,504,1
135.0777d.04511.237,135.b1d10.6f3ef.147,1415692839,A grenade lobbed onto the road by a militant Muslim kills a civilian and injures nine others.,36816,22,"----S-,-A----,-AP---",c9f0f,c4ca4,12,1008,1
135.0777d.04511.237,135.b1d10.6f3ef.148,1415692840,A woman is cut down by Muslim terrorists.,36818,22,"----S-,-A----,-AP---",c9f0f,c4ca4,12,1008,1
135.b1d10.b1d10.105,135.0777d.04511.237,1415750857,The Mujahideen kills two civilians with an IED.,765785t,65392,-AP---,c9f0f,c4ca4,56,504,1
135.b1d10.b1d10.46,135.0777d.04511.237,1415751419,Two civilians are killed in a bomb blast at a market.,6897970,51482,-AP---,c9f0f,c4ca4,87,420,1
135.0777d.04511.237,135.b1d10.b1d10.67,1415489491,A civilian is abducted and killed by Islamic terrorists.,51478,22,"-A----,-AP---",c9f0f,c4ca4,11,956,0
135.0777d.04511.237,135.b1d10.6f3ef.107,1415451585,"The Mujahideen attacks a security patrol, killing three members.",37856,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,1
135.0777d.04511.237,135.b1d10.6f3ef.65,1415692832,Islamists kill a man and his grandmother at their residence.,36793,22,"----S-,-A----,-AP---",c9f0f,c4ca4,11,892,1
135.b1d10.b1d10.223,135.0777d.04511.237,1415750661,A physician succumbs to injuries suffered in a sectarian attack.,22,51821,-AP---,c9f0f,c4ca4,6,504,1
